id;name;type_target;classification_id;classname;subclassname;valid_since;valid_until;point;line;polygon
9653;"Hotel ""Alte Feuerwache""";1;346;"tourism";"hotel";"2014-09-01";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.494201,52.5459093]}";"";""
9660;"Silverado";1;169;"amenity";"restaurant";"2013-09-06";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.4902572,52.5431423]}";"";""
9785;"ALDI";1;49;"shop";"supermarket";"2012-10-09";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.4312004,52.5021469]}";"";""
9897;"Heinersdorfer Straße";1;583;"highway";"bus_stop";"2016-05-22";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.4339718,52.5569032]}";"";""
9993;"SECO Kiezkneipe";1;168;"amenity";"pub";"2014-09-01";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.494476,52.5446501]}";"";""
10039;"U Wittenbergplatz";1;583;"highway";"bus_stop";"2016-01-21";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.3419797,52.5018683]}";"";""
10346;"Miraustraße";1;583;"highway";"bus_stop";"2016-02-01";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.3092919,52.5837188]}";"";""
10422;"U Bismarckstraße";1;549;"railway";"subway_entrance";"2016-01-15";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.3052602,52.5119307]}";"";""
11025;"Fulhamer Allee";1;583;"highway";"bus_stop";"2015-12-02";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.4369398,52.4484689]}";"";""
11272;"Warmensteinacher Straße";1;583;"highway";"bus_stop";"2016-01-22";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.4254065,52.4136306]}";"";""
11347;"Osteria dell Arte";1;169;"amenity";"restaurant";"2016-03-17";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.3381275,52.5248544]}";"";""
11427;"Kebap King";1;165;"amenity";"fast_food";"2015-03-11";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.2713812,52.5760052]}";"";""
11490;"Sony Style Store";1;105;"shop";"electronics";"2014-10-13";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.3726735,52.5098057]}";"";""
11556;"Stubenrauchstraße/Springbornstraße";1;583;"highway";"bus_stop";"2015-12-15";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.500206,52.4355875]}";"";""
11665;"Löwensteinring";1;583;"highway";"bus_stop";"2015-11-28";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.4654801,52.4294894]}";"";""
11961;"Rumeyplan";1;583;"highway";"bus_stop";"2016-01-24";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.3773221,52.4757714]}";"";""
12131;"Hair Melissa";1;69;"shop";"hairdresser";"2012-03-05";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.3596743,52.5508881]}";"";""
12377;"Zur Haxe";1;169;"amenity";"restaurant";"2015-12-20";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.4369044,52.5448075]}";"";""
12420;"Leghornweg";1;583;"highway";"bus_stop";"2016-02-21";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.4840985,52.4066358]}";"";""
12421;"Leghornweg";1;396;"public_transport";"stop_position";"2016-02-21";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.4840985,52.4066358]}";"";""
12469;"Walt-Disney-Grundschule";1;174;"amenity";"school";"2012-12-28";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.4720645,52.4267401]}";"";""
12558;"Döner";1;165;"amenity";"fast_food";"2013-05-27";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.5067054,52.4039095]}";"";""
12599;"aqua-nautic";1;120;"shop";"scuba_diving";"2015-12-26";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.3129702,52.5034134]}";"";""
12738;"Trattoria Rossi";1;169;"amenity";"restaurant";"2016-03-13";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.2947598,52.504238]}";"";""
12992;"Autogas Fernholz Apparat...";1;189;"amenity";"fuel";"2015-12-18";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.2852,52.522]}";"";""
13138;"Pizza a Pezzi";1;169;"amenity";"restaurant";"2013-01-19";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.4296757,52.488245]}";"";""
13419;"Leonardo Hotel Berlin";1;346;"tourism";"hotel";"2015-12-24";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.3046531,52.5128662]}";"";""
13530;"Karthago";1;165;"amenity";"fast_food";"2016-03-24";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.303638,52.507812]}";"";""
13908;"U Franz-Neumann-Platz";1;583;"highway";"bus_stop";"2016-02-01";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.3637965,52.5644935]}";"";""
14027;"Brixplatz";1;583;"highway";"bus_stop";"2016-01-22";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.256875,52.5189424]}";"";""
14311;"Adalberstraße";1;396;"public_transport";"stop_position";"2015-12-06";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.4223052,52.5050757]}";"";""
14400;"Germanenstraße/Schirnerstraße";1;396;"public_transport";"stop_position";"2016-02-21";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.5555737,52.4118533]}";"";""
14483;"Werderlake";1;583;"highway";"bus_stop";"2016-02-21";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.5217123,52.4236555]}";"";""
14504;"Röblingstraße/Attilastraße";1;583;"highway";"bus_stop";"2016-01-18";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.3664155,52.4497358]}";"";""
14543;"Panorama Apartment Berlin City Centre";1;344;"tourism";"guest_house";"2010-08-16";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.4050159,52.5222761]}";"";""
14585;"39 Bar";1;168;"amenity";"pub";"2015-12-22";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.4171159,52.5019816]}";"";""
14745;"Hertzstraße/Hauptstraße";1;583;"highway";"bus_stop";"2016-02-02";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.3657491,52.5848954]}";"";""
14767;"Ria";1;197;"amenity";"bureau_de_change";"2015-12-22";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.4180479,52.4999572]}";"";""
14878;"Club der polnischen Versager";1;168;"amenity";"pub";"2013-01-16";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.3971717,52.5298409]}";"";""
15068;"Edeka";1;49;"shop";"supermarket";"2011-10-04";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.4203811,52.3928926]}";"";""
15171;"Gersdorfstr./Kaiserstr.";1;583;"highway";"bus_stop";"2016-01-18";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.374266,52.4448247]}";"";""
15288;"Am Langen Grund";1;396;"public_transport";"stop_position";"2016-11-19";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.432527,52.3948748]}";"";""
15334;"Ingenieurbüro U. Gronowski";1;361;"office";"undefined";"2015-10-09";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.3487926,52.5409645]}";"";""
15449;"Bhf. Buch";1;195;"amenity";"taxi";"2015-12-17";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.4923865,52.6367098]}";"";""
